Производитель,Модель,Цена,Цена без скидки,Скидка,Процессор,Дискретная видеокарта,Встроенная видеокарта,Оперативная память,SSD,HDD,Экран,Операционная система,Ссылка
AORUS,15P XD,148499,164999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 240 Гц",без ОС,https://www.dns-shop.ru/product/f99a960a4b7ced20/156-noutbuk-aorus-15p-xd-cernyj/characteristics/
ASUS,ROG Zephyrus G14 AniMe Matrix GA401QC-K2143T,149999,0,0,AMD Ryzen 7 5800HS 8x2.8 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"2560x1440 14"" IPS 120 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/b7dafeaaed1aed20/14-noutbuk-asus-rog-zephyrus-g14-anime-matrix-ga401qc-k2143t-seryj/characteristics/
AORUS,15P XD,150299,166999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 240 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/be2545b0c501ed20/156-noutbuk-aorus-15p-xd-cernyj/characteristics/
AORUS,17G KD,150299,166999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 300 Гц",без ОС,https://www.dns-shop.ru/product/5c7e0b97ffe8c823/173-noutbuk-aorus-17g-kd-cernyj/characteristics/
ASUS,TUF Gaming F15 FX507ZM-HN115W,152999,169999,10,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR5 4800 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/9e688d295e0ced20/156-noutbuk-asus-tuf-gaming-f15-fx507zm-hn115w-serebristyj/characteristics/
ASUS,ROG Strix G17 G713IM-HX055W,152999,0,0,AMD Ryzen 7 4800H 8x2.9 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/79321cf18559ed20/173-noutbuk-asus-rog-strix-g17-g713im-hx055w-seryj/characteristics/
Lenovo,Legion 5 15ITH6H,154999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 165 Гц",без ОС,https://www.dns-shop.ru/product/e017e0fa7d9ded20/156-noutbuk-lenovo-legion-5-15ith6h-sinij/characteristics/
MSI,Stealth 15M A11UEK-275RU [9S7-156311-275],155999,0,0,Intel Core i7-11375H 4x3.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed32f69fa32ff4/156-noutbuk-msi-stealth-15m-a11uek-275ru-9s7-156311-275-seryj/characteristics/
Acer,Nitro 5 AN515-45-R671,161999,179999,10,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3080 для ноутбуков 8 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"2560x1440 15.6"" IPS 165 Гц",без ОС,https://www.dns-shop.ru/product/64b74194d2ff2ff2/156-noutbuk-acer-nitro-5-an515-45-r671-cernyj/characteristics/
Dell,G15 5515,164799,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,8 ГБ DDR4 3200 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed32fc9fa32ff4/156-noutbuk-dell-g15-5515-seryj/characteristics/
